restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address,Popularity Score
1722 Urban Bistro,Casual Dining,4.1,218,600.0,Yes,Yes,"North Indian, Chinese, Fast Food, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,893.8
18+ Ice Cafe,Cafe,3.5,24,550.0,No,No,"Cafe, Fast Food, Chinese, Beverages",Kalyan Nagar,Kammanahalli,84.0
1947,Casual Dining,3.9,620,1000.0,No,Yes,"North Indian, Chinese, Continental",Rajajinagar,Rajajinagar,2418.0
1980s Games Cafe,Cafe,3.4,58,400.0,Yes,No,"Cafe, Fast Food",Banashankari,Basavanagudi,197.2
1992 Chats - Space,Quick Bites,3.7,33,200.0,Yes,No,Street Food,Malleshwaram,Rajajinagar,122.10000000000001
1Q1,"Casual Dining, Bar",4.3,595,2500.0,No,Yes,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",Brigade Road,Infantry Road,2558.5
1TO3 Kitchen,Delivery,3.1,11,800.0,No,No,"North Indian, Chinese, Continental, Italian, South Indian",Marathahalli,Marathahalli,34.1
2 Statez,Casual Dining,3.7,209,600.0,Yes,No,"Kerala, Seafood, South Indian, North Indian, Chinese",Kalyan Nagar,Kalyan Nagar,773.3000000000001
20 Char - Sterlings MAC Hotel,"Casual Dining, Bar",4.0,419,1400.0,Yes,Yes,"Chinese, Continental, North Indian, South Indian, Arabian",Indiranagar,Old Airport Road,1676.0
20 Feet High,"Casual Dining, Bar",4.0,932,1000.0,Yes,Yes,"American, Continental, Steak, Salad",Brigade Road,Church Street,3728.0
21 C - La Marvella Sarovar Premiere Hotel,Casual Dining,3.6,15,1000.0,No,No,Continental,Basavanagudi,Jayanagar,54.0
24 Carats - The Capitol,Casual Dining,3.1,46,1000.0,No,No,"Asian, Continental",Brigade Road,Cunningham Road,142.6
24 Hours Cake Delivery,Delivery,3.3,4,700.0,No,No,Bakery,Indiranagar,Old Airport Road,13.2
24 Hours Coffee Drop - La Classic,Cafe,3.4,9,800.0,No,No,Cafe,Electronic City,Electronic City,30.599999999999998
24/7 - The Lalit Ashok Bangalore,Fine Dining,4.0,344,3000.0,No,Yes,"Continental, North Indian, Italian, Chinese",Malleshwaram,Seshadripuram,1376.0
24/7 Food Service,"Takeaway, Delivery",2.9,7,300.0,Yes,No,"South Indian, North Indian, Fast Food","Byresandra,Tavarekere,Madiwala",JP Nagar,20.3
24@43 - The Oterra,Fine Dining,4.1,268,3000.0,No,Yes,"North Indian, Asian, Continental",Electronic City,Electronic City,1098.8
24th Main,Casual Dining,4.1,1234,800.0,No,Yes,"North Indian, South Indian, Chinese",Bannerghatta Road,JP Nagar,5059.4
29 Degrees North,Quick Bites,3.9,283,250.0,Yes,No,"North Indian, Fast Food, Street Food",Kalyan Nagar,Banaswadi,1103.7
2nd Home Restaurant,Quick Bites,3.7,21,500.0,Yes,No,"South Indian, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM,77.7
3 Leafs,Casual Dining,3.7,128,600.0,Yes,No,"North Indian, South Indian, Chinese",Marathahalli,Kaggadasapura,473.6
3 Spice,Casual Dining,3.9,156,450.0,Yes,No,"North Indian, Chinese",Koramangala 7th Block,Wilson Garden,608.4
30 Square,Quick Bites,4.2,556,400.0,Yes,No,"Tibetan, Nepalese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,2335.2000000000003
360 Atoms Restaurant And Cafe,Cafe,3.1,13,400.0,Yes,No,"Cafe, Chinese, Continental, Italian",Banashankari,Banashankari,40.300000000000004
36th Cross Coffee Mane,Casual Dining,3.7,29,500.0,No,No,"North Indian, Chinese",JP Nagar,BTM,107.30000000000001
37 China Town,Casual Dining,3.5,58,900.0,No,No,"Chinese, Thai, North Indian, South Indian, Continental",Lavelle Road,Race Course Road,203.0
"3B's - Buddies, Bar & Barbecues","Casual Dining, Bar",4.4,1149,1100.0,No,Yes,"North Indian, Mediterranean, European, BBQ","Byresandra,Tavarekere,Madiwala",BTM,5055.6
3G's - Gulp & Groove,"Bar, Casual Dining",4.1,662,1100.0,Yes,Yes,"Finger Food, Continental, Chinese",Malleshwaram,Malleshwaram,2714.2
3rd Innings,"Casual Dining, Bar",3.0,17,1000.0,No,No,"Burger, Italian, North Indian, Chinese",Electronic City,Electronic City,51.0
4 Mangoes,Kiosk,3.7,14,200.0,No,No,Ice Cream,Indiranagar,Old Airport Road,51.800000000000004
4 Seasons Restaurant,Casual Dining,3.7,399,1000.0,Yes,Yes,"North Indian, Seafood, Middle Eastern, Chinese",Kalyan Nagar,Kalyan Nagar,1476.3000000000002
4 States,Food Court,3.2,4,400.0,No,No,South Indian,Sarjapur Road,Bellandur,12.8
46 Ounces Brewgarden,Microbrewery,2.8,40,1600.0,No,Yes,"Bar Food, Finger Food, Pizza",Electronic City,Electronic City,112.0
4700BC Popcorn,"Takeaway, Delivery",4.1,55,500.0,No,No,Fast Food,Whitefield,Whitefield,225.49999999999997
4Foodiez,Quick Bites,3.6,82,300.0,Yes,No,"South Indian, North Indian, Chinese",Electronic City,Electronic City,295.2
4Foodiez - The Restaurant,Quick Bites,3.0,23,400.0,No,No,"Street Food, Chinese, North Indian, South Indian",Electronic City,Electronic City,69.0
4K Biryani,Delivery,3.3,4,700.0,Yes,No,"North Indian, Chinese",HSR,HSR,13.2
4th Tea Block,Cafe,4.0,62,150.0,No,No,Cafe,Basavanagudi,Jayanagar,248.0
5 Star Food,Quick Bites,2.8,40,300.0,Yes,No,"South Indian, Fast Food",Frazer Town,Kammanahalli,112.0
50-50 EATING HOUSE,Quick Bites,3.2,4,100.0,No,No,"South Indian, Biryani",Banashankari,Basavanagudi,12.8
52 Wall Street,"Bar, Casual Dining",3.9,737,1400.0,No,No,"American, Continental, Finger Food","Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,2874.2999999999997
55 Wall Street,Bar,3.9,1763,1300.0,No,Yes,"Finger Food, North Indian, Chinese",Bannerghatta Road,JP Nagar,6875.7
56 Bhoga Sweets,"Takeaway, Delivery",3.6,51,150.0,No,No,"Mithai, Street Food",HSR,HSR,183.6
5th Main Cafe,Cafe,3.5,15,250.0,No,No,"Cafe, Fast Food","Byresandra,Tavarekere,Madiwala",HSR,52.5
7 Days Restaurant,Quick Bites,3.8,478,400.0,Yes,No,"North Indian, Chinese, Arabian",Electronic City,Electronic City,1816.3999999999999
7 Degrees North,Casual Dining,3.5,11,500.0,No,No,North Indian,HSR,HSR,38.5
7 Hills Andhra Mess,Mess,3.4,8,300.0,No,No,Andhra,Indiranagar,CV Raman Nagar,27.2
7 Plates,Casual Dining,3.5,531,600.0,Yes,No,"North Indian, Mughlai, Rolls, Fast Food",Kammanahalli,Kalyan Nagar,1858.5
7 Shanghai,Quick Bites,3.5,18,250.0,Yes,No,Chinese,Electronic City,Electronic City,63.0
7 Spice,Quick Bites,3.4,5,250.0,No,No,"Biryani, Chinese",Kalyan Nagar,Banaswadi,17.0
7 to 11 Food Court,Quick Bites,3.7,16,200.0,Yes,No,"Fast Food, Burger, North Indian, South Indian",Frazer Town,Banaswadi,59.2
70 Brigade - Iris Hotel,Casual Dining,3.9,105,1000.0,No,Yes,"Chinese, North Indian, Pizza",Brigade Road,Brigade Road,409.5
7Biryanis,Casual Dining,3.2,4,600.0,Yes,No,"Andhra, Biryani",Kalyan Nagar,Nagawara,12.8
7th Heaven,Bakery,3.6,17,300.0,No,No,"Bakery, Desserts",New BEL Road,New BEL Road,61.2
8 Slice,Delivery,3.7,74,600.0,Yes,No,Pizza,Brigade Road,Koramangala 6th Block,273.8
9 Bowls,Quick Bites,2.8,40,500.0,Yes,No,"Healthy Food, Continental, North Indian, Chinese",HSR,Koramangala 1st Block,112.0
90's,Quick Bites,2.8,40,200.0,No,No,North Indian,HSR,HSR,112.0
90's Beer Cafe - Hotel Millennium Plaza,Bar,3.0,7,1000.0,No,No,Finger Food,Electronic City,Electronic City,21.0
90's Cafe,Quick Bites,2.8,40,500.0,No,No,"Fast Food, Burger",Jayanagar,JP Nagar,112.0
99 Caffe,Quick Bites,3.6,106,250.0,Yes,No,"South Indian, North Indian, Chinese",Brookefield,Brookefield,381.6
99 Pancakes,Dessert Parlor,4.1,41,150.0,Yes,No,"Desserts, Ice Cream",Brigade Road,Church Street,168.1
99 Variety Dosa & Pav Bhaji,Quick Bites,3.8,16,250.0,Yes,No,"South Indian, North Indian, Street Food",Koramangala 5th Block,Koramangala 6th Block,60.8
