restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address,Popularity Score
Hotel Kakatiya,Quick Bites,3.7,49,350.0,Yes,No,"Andhra, North Indian, Chinese, Biryani",Kalyan Nagar,Nagawara,181.3
Hotel Kalpaka,Quick Bites,3.4,4,400.0,No,No,"South Indian, Kerala",Basavanagudi,City Market,13.6
Hotel Kanchan's Fish & Chicken,Quick Bites,3.3,4,250.0,No,No,"South Indian, Chinese",Brigade Road,Shivajinagar,13.2
Hotel Karavali,Quick Bites,3.6,14,400.0,No,No,"South Indian, Chinese",Rajajinagar,Vijay Nagar,50.4
Hotel Karavali Beach,Casual Dining,3.5,19,500.0,Yes,No,"Seafood, Mangalorean, Chinese",Malleshwaram,Seshadripuram,66.5
Hotel Karavali Fish Palace,Quick Bites,3.8,20,400.0,Yes,No,"Seafood, South Indian, Chinese",Rajajinagar,Rajajinagar,76.0
Hotel Karavali Food Point,Quick Bites,3.8,219,400.0,Yes,No,"Mangalorean, South Indian, North Indian",Rajajinagar,Vijay Nagar,832.1999999999999
Hotel Khaaja,Quick Bites,3.1,68,250.0,Yes,No,"Biryani, Fast Food",Bannerghatta Road,Bannerghatta Road,210.8
Hotel Lakshmi Paradise,Quick Bites,3.3,7,400.0,No,No,"North Indian, Mughlai",Bannerghatta Road,Bannerghatta Road,23.099999999999998
Hotel Little Imperial,Casual Dining,3.7,91,500.0,Yes,No,"North Indian, Chinese, South Indian",Kalyan Nagar,Kalyan Nagar,336.7
Hotel Madhuvan,Quick Bites,3.5,7,200.0,No,No,South Indian,Lavelle Road,City Market,24.5
Hotel Malabar,Quick Bites,3.8,43,250.0,No,No,Kerala,Marathahalli,Kaggadasapura,163.4
Hotel Malgudi,Quick Bites,3.6,10,400.0,Yes,No,"South Indian, Biryani",Malleshwaram,Rajajinagar,36.0
Hotel Manarama,Quick Bites,3.7,43,200.0,No,No,North Indian,Electronic City,Electronic City,159.1
Hotel Mangala,Quick Bites,3.9,88,250.0,No,No,South Indian,Banashankari,Banashankari,343.2
Hotel Manu,Quick Bites,3.8,341,400.0,Yes,No,"South Indian, Kerala, Chinese, North Indian",Koramangala 4th Block,HSR,1295.8
Hotel Manu Residency,Casual Dining,3.8,201,550.0,Yes,No,"Andhra, North Indian, Chinese, Biryani",Whitefield,Whitefield,763.8
Hotel Marina,Quick Bites,2.8,26,400.0,No,No,"North Indian, Chinese, South Indian",Koramangala 4th Block,Koramangala 6th Block,72.8
Hotel Masthi Kabab,Quick Bites,3.1,9,300.0,No,No,"North Indian, Chinese",Bellandur,Bellandur,27.900000000000002
Hotel Masti,Delivery,2.8,25,300.0,Yes,No,"North Indian, Biryani, Chinese",Electronic City,Electronic City,70.0
Hotel Meed Cafe,Quick Bites,3.2,5,250.0,No,No,"North Indian, South Indian","Byresandra,Tavarekere,Madiwala",BTM,16.0
Hotel Metropole,Quick Bites,2.9,18,400.0,No,No,"North Indian, Chinese, South Indian",Brigade Road,Shivajinagar,52.199999999999996
Hotel Mirchi Red,Quick Bites,3.0,32,400.0,No,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM,96.0
Hotel Moonlight,Casual Dining,3.9,115,500.0,No,No,"Chinese, North Indian",Malleshwaram,Malleshwaram,448.5
Hotel Nalapaka,Casual Dining,4.3,678,400.0,No,No,South Indian,Malleshwaram,Rajajinagar,2915.4
Hotel Narmada,Quick Bites,2.8,40,500.0,Yes,No,"Hyderabadi, Biryani, Andhra",HSR,Sarjapur Road,112.0
Hotel Narmada Andhra Style,Quick Bites,3.4,5,400.0,No,No,"Andhra, South Indian",Sarjapur Road,Sarjapur Road,17.0
Hotel New Karavali,"Casual Dining, Bar",3.4,8,550.0,Yes,No,"Chinese, Mangalorean, Seafood, North Indian",Kalyan Nagar,Hennur,27.2
Hotel New Panchavati,Casual Dining,3.6,121,600.0,Yes,No,"North Indian, Chinese, Biryani, South Indian",Rajajinagar,Vijay Nagar,435.6
Hotel Nisarga,Quick Bites,3.2,5,250.0,No,No,"North Indian, South Indian",Banashankari,Banashankari,16.0
Hotel Nisarga Grand,Casual Dining,3.6,31,500.0,No,No,"South Indian, North Indian, Chinese",Church Street,City Market,111.60000000000001
Hotel Nisarga Restaurant,Quick Bites,3.2,6,300.0,No,No,"Chinese, North Indian",Whitefield,Whitefield,19.200000000000003
Hotel NLC Grand,Quick Bites,2.8,40,300.0,No,No,"Biryani, South Indian, North Indian",Marathahalli,Marathahalli,112.0
Hotel Oottupura,Quick Bites,3.6,21,200.0,No,No,South Indian,Koramangala 4th Block,Ejipura,75.60000000000001
Hotel Palace,Quick Bites,3.7,24,250.0,Yes,No,"Biryani, Chinese","Byresandra,Tavarekere,Madiwala",HSR,88.80000000000001
Hotel Panchami Grand,Casual Dining,3.5,15,550.0,No,No,"Chinese, North Indian, South Indian",New BEL Road,New BEL Road,52.5
Hotel Paradise,Quick Bites,3.3,5,200.0,No,No,Fast Food,"Byresandra,Tavarekere,Madiwala",Jayanagar,16.5
Hotel Parampare,Casual Dining,2.9,13,600.0,Yes,No,"North Indian, Mughlai, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,37.699999999999996
Hotel Pork Paradise,Quick Bites,3.7,21,300.0,No,No,South Indian,Rajajinagar,Mysore Road,77.7
Hotel Prakruthi,Quick Bites,3.8,93,350.0,Yes,No,South Indian,Rajajinagar,Vijay Nagar,353.4
Hotel Prashanth,Quick Bites,3.9,63,350.0,Yes,No,North Indian,Malleshwaram,Rajajinagar,245.7
Hotel Raj,Quick Bites,3.6,16,250.0,No,No,"Andhra, Biryani",Lavelle Road,Majestic,57.6
Hotel Rajesh,Quick Bites,3.5,9,350.0,No,No,South Indian,Malleshwaram,Sadashiv Nagar,31.5
Hotel Ramprasad,Quick Bites,4.2,93,300.0,Yes,No,"South Indian, Chinese",Brigade Road,Brigade Road,390.6
Hotel Rangoon,Quick Bites,3.7,17,300.0,Yes,No,Burmese,Brigade Road,Ulsoor,62.900000000000006
Hotel Raravees,Quick Bites,2.8,40,400.0,No,No,"North Indian, Chinese, South Indian",Indiranagar,Old Airport Road,112.0
Hotel Reddy Bhavan,Quick Bites,3.4,11,300.0,Yes,No,"Biryani, North Indian, Chinese, Andhra","Byresandra,Tavarekere,Madiwala",HSR,37.4
Hotel Renowned,Quick Bites,3.3,5,200.0,No,No,"North Indian, Biryani",Basavanagudi,City Market,16.5
Hotel Royal Darbar,Quick Bites,3.4,13,400.0,No,No,"North Indian, Chinese",Whitefield,Whitefield,44.199999999999996
Hotel Ruchi Priya,Quick Bites,3.6,21,350.0,Yes,No,North Indian,Basavanagudi,Wilson Garden,75.60000000000001
Hotel Sai Renaissance,Casual Dining,3.6,32,450.0,Yes,Yes,"South Indian, North Indian, Chinese",Whitefield,Whitefield,115.2
Hotel Sakti Saravana,Quick Bites,3.8,67,350.0,Yes,No,"Tamil, South Indian",Electronic City,Electronic City,254.6
Hotel Salala,Quick Bites,3.5,18,400.0,Yes,No,"North Indian, South Indian, Chinese, Biryani",Brookefield,Brookefield,63.0
Hotel Salam,Quick Bites,4.1,127,400.0,Yes,No,"North Indian, Chinese, Biryani","Byresandra,Tavarekere,Madiwala",HSR,520.6999999999999
Hotel Sapthagiri,Casual Dining,3.6,13,700.0,Yes,No,"Andhra, North Indian, Chinese",Bellandur,Marathahalli,46.800000000000004
Hotel Savaji's,Quick Bites,3.5,36,300.0,No,No,South Indian,Malleshwaram,Rajajinagar,126.0
Hotel Sekar,Quick Bites,2.8,40,200.0,Yes,No,North Indian,Koramangala 6th Block,BTM,112.0
Hotel Shangrila,Casual Dining,3.7,125,600.0,No,No,"Chinese, Momos",Lavelle Road,Brigade Road,462.5
Hotel Shreekshetra,Quick Bites,3.6,10,300.0,Yes,No,"North Indian, Chinese",Bellandur,Sarjapur Road,36.0
Hotel Shri Raghavendra,Quick Bites,3.0,6,150.0,No,No,"South Indian, North Indian",Rajajinagar,Majestic,18.0
Hotel Shruthi,Quick Bites,3.5,13,200.0,Yes,No,"North Indian, Biryani",Electronic City,Electronic City,45.5
Hotel Smile,Casual Dining,3.1,6,400.0,Yes,No,"North Indian, Chinese",Bannerghatta Road,Jayanagar,18.6
Hotel Tadaka House,Quick Bites,3.4,7,300.0,No,No,"North Indian, Chinese, Biryani",HSR,Bommanahalli,23.8
Hotel Taj Delight,Casual Dining,3.2,17,600.0,Yes,No,"North Indian, Biryani, Arabian",Malleshwaram,New BEL Road,54.400000000000006
Hotel Tanish,Quick Bites,3.6,13,250.0,Yes,No,South Indian,Bellandur,HSR,46.800000000000004
Hotel Thalassery,Quick Bites,3.4,8,200.0,No,No,"Kerala, South Indian",Electronic City,Electronic City,27.2
Hotel Thazooq,Quick Bites,3.3,6,350.0,No,No,"North Indian, Chinese, Biryani",HSR,Koramangala 1st Block,19.799999999999997
Hotel The Nalanda,Casual Dining,3.2,4,700.0,No,No,"North Indian, South Indian",Electronic City,Electronic City,12.8
Hotel The Shack,Casual Dining,3.9,116,1000.0,Yes,No,"North Indian, Biryani",Kalyan Nagar,Rammurthy Nagar,452.4
Hotel Tom's Restaurant,Casual Dining,4.0,69,1000.0,Yes,No,"Mangalorean, Seafood, Chinese, North Indian",Koramangala 5th Block,Koramangala 6th Block,276.0
Hotel Triloka,Quick Bites,3.3,7,400.0,Yes,No,North Indian,Whitefield,Whitefield,23.099999999999998
Hotel Udipi Krishna,Quick Bites,2.8,40,100.0,No,No,South Indian,"Byresandra,Tavarekere,Madiwala",BTM,112.0
Hotel Uma Bhai,Quick Bites,3.7,38,400.0,Yes,No,North Indian,Electronic City,Electronic City,140.6
Hotel Uttam Sagar,Quick Bites,3.6,7,400.0,Yes,No,North Indian,Whitefield,Whitefield,25.2
Hotel Vaishali,Quick Bites,3.6,20,150.0,No,No,South Indian,Malleshwaram,Malleshwaram,72.0
Hotel Vinitha,Quick Bites,3.2,5,150.0,No,No,"South Indian, North Indian, Chinese",Brigade Road,Shivajinagar,16.0
Hotel Zam Zam,Quick Bites,3.1,30,300.0,Yes,No,"North Indian, Chinese",Frazer Town,Hennur,93.0
Hottey Smokey,Food Court,3.8,81,500.0,Yes,No,"Continental, Fast Food",Brookefield,"ITPL Main Road, Whitefield",307.8
House of Chaaps,Quick Bites,2.8,40,450.0,Yes,No,"North Indian, Rolls","Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,112.0
House Of Combos,Delivery,2.8,40,600.0,Yes,No,"North Indian, Fast Food, Burger, Momos",Brookefield,Marathahalli,112.0
House Of Commons,Bar,4.7,3573,1000.0,No,Yes,"Continental, Asian, North Indian",HSR,HSR,16793.100000000002
House Of Kebabs,Casual Dining,3.8,540,650.0,Yes,No,"North Indian, Kebab, Biryani, Chinese",Banashankari,Basavanagudi,2052.0
House Of Lassi,Beverage Shop,3.6,23,250.0,Yes,No,"Beverages, Fast Food","Byresandra,Tavarekere,Madiwala",Bommanahalli,82.8
House of Mandarin,Quick Bites,3.3,4,300.0,No,No,Chinese,HSR,HSR,13.2
House Of Seitan,Cafe,2.8,40,700.0,Yes,No,"Cafe, Healthy Food, Salad, Beverages",Indiranagar,Indiranagar,112.0
House of Torte,"Bakery, Cafe",3.8,60,450.0,Yes,No,"Bakery, Cafe, Burger, Fast Food",Marathahalli,Kaggadasapura,228.0
House Of Wholewheat,Bakery,3.1,6,200.0,Yes,No,"Bakery, Desserts","Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,18.6
House Stark Cafe,Cafe,3.9,44,300.0,Yes,No,"Cafe, Desserts, Fast Food, Burger","Byresandra,Tavarekere,Madiwala",HSR,171.6
Howlin Wolf,Casual Dining,4.0,94,700.0,Yes,No,"Italian, Mediterranean, European, Sandwich",Koramangala 5th Block,HSR,376.0
Howrah Bridge,Casual Dining,3.2,294,600.0,Yes,No,"Bengali, Seafood",Koramangala 6th Block,HSR,940.8000000000001
HQ,"Casual Dining, Bar",4.1,460,1000.0,No,Yes,"North Indian, Italian, Finger Food, Continental",Brookefield,Whitefield,1885.9999999999998
HSR Agarval Bhavan,Casual Dining,3.2,68,400.0,Yes,No,"South Indian, Street Food, Fast Food, Desserts, Beverages","Byresandra,Tavarekere,Madiwala",HSR,217.60000000000002
HSR High Street,Casual Dining,3.8,320,800.0,No,Yes,"Hyderabadi, North Indian, South Indian, Biryani",HSR,HSR,1216.0
HSR SLV Fast Food,Quick Bites,3.7,33,200.0,Yes,No,"South Indian, Fast Food","Byresandra,Tavarekere,Madiwala",HSR,122.10000000000001
Huko Mukho Hangla,Quick Bites,4.0,175,400.0,Yes,No,"Bengali, Seafood",Kalyan Nagar,Kammanahalli,700.0
Hum Biryani,Delivery,3.4,17,600.0,Yes,No,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",BTM,57.8
Hunan,Casual Dining,4.0,820,1100.0,No,Yes,"Chinese, Thai, Momos",New BEL Road,New BEL Road,3280.0
Hunan Express,"Food Court, Quick Bites",3.8,72,550.0,No,No,Chinese,Whitefield,Whitefield,273.59999999999997
Hunan King's,Casual Dining,2.9,123,800.0,Yes,No,"Chinese, Thai, Momos",New BEL Road,Sahakara Nagar,356.7
Hunger Bee,Quick Bites,3.8,54,500.0,Yes,No,"Biryani, North Indian, South Indian",Bannerghatta Road,Bannerghatta Road,205.2
Hunger Box,"Takeaway, Delivery",2.8,40,400.0,No,No,"North Indian, Chinese",Marathahalli,Marathahalli,112.0
Hunger Buds,Quick Bites,3.5,10,250.0,No,No,North Indian,"Byresandra,Tavarekere,Madiwala",BTM,35.0
Hunger Camp,Casual Dining,4.6,311,1300.0,No,Yes,"North Indian, South Indian, Chinese, Seafood",Bannerghatta Road,JP Nagar,1430.6
Hunger Genie,"Takeaway, Delivery",4.0,165,450.0,No,No,"North Indian, Chinese, Biryani",Whitefield,Whitefield,660.0
Hunger Hitman,Delivery,3.8,257,300.0,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala,976.5999999999999
Hunger Lust,Quick Bites,2.8,40,250.0,Yes,No,"Fast Food, Chinese, North Indian",Koramangala 7th Block,Wilson Garden,112.0
Hunger Meals,Delivery,3.8,31,400.0,No,No,"South Indian, North Indian, Biryani",Koramangala 4th Block,Koramangala 4th Block,117.8
Hunger Night King,Delivery,3.6,112,400.0,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 2nd Block,403.2
Hunger Stop,Quick Bites,3.7,40,300.0,Yes,No,"North Indian, Chinese, Fast Food",Brookefield,Whitefield,148.0
Hunger Swipe Restaurant,Casual Dining,2.8,40,700.0,No,No,"North Indian, Chinese",HSR,HSR,112.0
Hunger Twist,Delivery,3.8,60,300.0,Yes,No,"Fast Food, Burger",Frazer Town,Kalyan Nagar,228.0
Hunger2Eat,Quick Bites,3.7,26,400.0,Yes,No,"Biryani, Fast Food, North Indian","Byresandra,Tavarekere,Madiwala",BTM,96.2
Hungerbreak 24x7,Delivery,3.0,7,300.0,Yes,No,"North Indian, South Indian, Maharashtrian",Koramangala 4th Block,Koramangala 8th Block,21.0
HungerLoft,Casual Dining,2.5,109,800.0,Yes,No,"North Indian, Chinese, Arabian","Byresandra,Tavarekere,Madiwala",BTM,272.5
Hungree Belly,Casual Dining,3.9,633,800.0,Yes,Yes,"Continental, North Indian, Chinese, Bengali",Old Airport Road,Kaggadasapura,2468.7
Hungrill Barbeque,Quick Bites,3.4,8,300.0,Yes,No,"BBQ, Rolls",Marathahalli,Kaggadasapura,27.2
Hungry Bird,Quick Bites,3.6,15,400.0,Yes,No,"North Indian, Chinese, Biryani",Bellandur,Bellandur,54.0
Hungry Birds,Delivery,3.2,6,300.0,Yes,No,Chinese,Brigade Road,Koramangala 7th Block,19.200000000000003
Hungry Bowl,"Takeaway, Delivery",3.6,51,500.0,No,No,"North Indian, Chinese, Italian","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,183.6
Hungry Buddies,Quick Bites,3.3,33,150.0,No,No,North Indian,Bannerghatta Road,BTM,108.89999999999999
Hungry Darjeeling Chinese and Thai,Quick Bites,2.8,40,300.0,Yes,No,"Chinese, Thai",Indiranagar,Thippasandra,112.0
Hungry Folks Snacks Drinks,Quick Bites,2.8,40,200.0,Yes,No,Fast Food,Rajajinagar,Basaveshwara Nagar,112.0
Hungry Haters,Takeaway,2.8,40,300.0,Yes,No,"Chinese, North Indian",Bannerghatta Road,JP Nagar,112.0
Hungry Hippie,Cafe,4.3,1463,800.0,No,Yes,"Cafe, Continental, Italian, Burger","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,6290.9
Hungry Kya?,Quick Bites,3.3,8,400.0,No,No,"North Indian, Chinese",Electronic City,Electronic City,26.4
Hungry Lee,Quick Bites,4.1,357,500.0,No,No,"Chinese, Thai, Asian",Koramangala 5th Block,BTM,1463.6999999999998
Hungry Lion,Quick Bites,3.0,16,200.0,No,No,"Street Food, Beverages",Basavanagudi,Wilson Garden,48.0
Hungry Monster,"Takeaway, Delivery",2.8,40,300.0,Yes,No,"Biryani, Chinese, North Indian",HSR,HSR,112.0
Hungry Nights,"Takeaway, Delivery",3.0,54,300.0,No,No,"Chinese, North Indian","Byresandra,Tavarekere,Madiwala",BTM,162.0
Hungry Paunch,"Food Court, Quick Bites",4.0,203,350.0,No,No,"Bengali, Bihari",Koramangala 4th Block,Koramangala 6th Block,812.0
Hungry Queen,"Takeaway, Delivery",3.3,21,300.0,Yes,No,"North Indian, Chinese, Fast Food","Byresandra,Tavarekere,Madiwala",HSR,69.3
Hungry Travellers Cafe,Cafe,3.8,27,450.0,No,No,Cafe,Koramangala 4th Block,Koramangala 4th Block,102.6
Hungry Vihaari,Casual Dining,3.9,36,800.0,Yes,Yes,"Continental, Burger, Salad, Pizza, Beverages",Kalyan Nagar,Kalyan Nagar,140.4
Hungry Wok,Quick Bites,3.3,5,400.0,No,No,"Chinese, North Indian",Whitefield,Whitefield,16.5
Hunter's Lounge,Casual Dining,3.1,9,500.0,No,No,"South Indian, North Indian, Chinese",Electronic City,Electronic City,27.900000000000002
Husband's Kitchen,Quick Bites,3.5,112,350.0,Yes,No,"Fast Food, North Indian",Sarjapur Road,Sarjapur Road,392.0
Hushy's Kitchen,Quick Bites,3.5,58,300.0,Yes,No,Fast Food,Basavanagudi,Shanti Nagar,203.0
HVR Veg,Quick Bites,4.5,96,300.0,Yes,No,South Indian,Malleshwaram,Seshadripuram,432.0
Hyderabad Bawarchi,Casual Dining,3.9,118,800.0,No,No,"North Indian, Biryani, Chinese","Byresandra,Tavarekere,Madiwala",Jayanagar,460.2
Hyderabad Biryaani Home,Takeaway,3.0,137,650.0,Yes,No,"North Indian, Hyderabadi, Chinese",Bellandur,South Bangalore,411.0
Hyderabad Biryaani House,Casual Dining,3.5,374,550.0,Yes,No,"Biryani, North Indian, Chinese",Brookefield,Whitefield,1309.0
Hyderabad Biryaani Palace,Casual Dining,3.3,12,700.0,No,No,"Chinese, South Indian, North Indian, Biryani",Bellandur,Bellandur,39.599999999999994
Hyderabad Biryani,Casual Dining,3.2,145,600.0,Yes,No,"North Indian, Chinese, Biryani",Whitefield,Whitefield,464.0
Hyderabad Biryani House,Casual Dining,4.1,213,800.0,No,No,"Biryani, Hyderabadi, Chinese",Malleshwaram,Malleshwaram,873.3
Hyderabad Chefs,Casual Dining,4.0,268,800.0,Yes,No,"Hyderabadi, Andhra, North Indian, Chinese, South Indian",Brookefield,Whitefield,1072.0
Hyderabad Cuisine,Casual Dining,2.8,70,650.0,No,No,"Seafood, Biryani, Hyderabadi, North Indian",Brookefield,"Varthur Main Road, Whitefield",196.0
Hyderabad Cuisine Multicuisine Restaurant,Casual Dining,3.7,198,700.0,No,No,"North Indian, Chinese, Biryani",Brookefield,Whitefield,732.6
Hyderabad Darbar,Casual Dining,3.7,40,700.0,Yes,No,"Andhra, South Indian",Electronic City,Electronic City,148.0
Hyderabad Dawat,Casual Dining,3.2,30,650.0,Yes,No,"Biryani, Hyderabadi",Brookefield,Marathahalli,96.0
Hyderabad Express,Quick Bites,2.8,40,300.0,Yes,No,"Hyderabadi, Biryani",Jayanagar,Banashankari,112.0
Hyderabad Magic,Quick Bites,3.8,237,400.0,Yes,No,"Hyderabadi, Chinese, Biryani, Arabian",Electronic City,Electronic City,900.5999999999999
Hyderabadi Bawarchi,Casual Dining,3.2,133,500.0,Yes,No,"North Indian, Chinese, Biryani",Bannerghatta Road,Bannerghatta Road,425.6
Hyderabadi Bawarchi Biriyani,Casual Dining,3.4,4,450.0,Yes,No,Biryani,Sarjapur Road,Bellandur,13.6
Hyderabadi Bawarchi Multi Cuisine Restaurant,Casual Dining,3.0,40,600.0,No,No,"Biryani, North Indian, Chinese",New BEL Road,Hebbal,120.0
Hyderabadi Biriyani,Casual Dining,3.3,36,800.0,Yes,No,"Biryani, Hyderabadi, Chinese, North Indian",Sarjapur Road,Bellandur,118.8
Hyderabadi Biryaani Hub,"Takeaway, Delivery",2.7,17,300.0,Yes,No,"Biryani, Fast Food",Electronic City,Electronic City,45.900000000000006
Hyderabadi Biryani Corner,Quick Bites,3.4,7,350.0,No,No,"Hyderabadi, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM,23.8
Hyderabadi Biryani House,Quick Bites,2.8,40,300.0,No,No,Biryani,"Byresandra,Tavarekere,Madiwala",BTM,112.0
Hyderabadi Biryani Hub,Casual Dining,2.9,102,600.0,Yes,No,"Biryani, North Indian, Chinese",Brookefield,Marathahalli,295.8
Hyderabadi Dum Biryani,Quick Bites,3.7,23,300.0,No,No,Biryani,Whitefield,Whitefield,85.10000000000001
Hyderabadi Spice,Casual Dining,4.0,1369,600.0,Yes,No,"Biryani, North Indian",Electronic City,Electronic City,5476.0
Hyderabadi Zaiqa,Casual Dining,3.1,41,700.0,Yes,No,"Hyderabadi, North Indian, Biryani",Bellandur,Bellandur,127.10000000000001
Hyderbadi Irani Tea,Quick Bites,3.4,10,100.0,No,No,Beverages,Kammanahalli,Banaswadi,34.0
Hydrabad Biryani House,Casual Dining,2.8,40,400.0,No,No,"Biryani, North Indian",Malleshwaram,Malleshwaram,112.0
Hype - Shangri-La Hotel,"Lounge, Bar",4.4,374,3000.0,No,Yes,Finger Food,Lavelle Road,Vasanth Nagar,1645.6000000000001
I Cool,Quick Bites,4.0,76,150.0,Yes,No,"Juices, Fast Food",Bannerghatta Road,JP Nagar,304.0
I Siri Restaurant And Caterers,Quick Bites,3.4,6,400.0,No,No,"North Indian, South Indian, Chinese",Electronic City,Electronic City,20.4
Ibaco,Dessert Parlor,3.6,39,300.0,Yes,No,Desserts,Malleshwaram,Rajajinagar,140.4
i-Bar - The Park Bangalore,Lounge,3.8,617,3000.0,No,No,"North Indian, Chinese, Mediterranean",Brigade Road,MG Road,2344.6
Ice - Taj MG Road Bengaluru,Club,4.1,608,2800.0,No,Yes,Continental,Brigade Road,MG Road,2492.7999999999997
Ice & Cream Creamery,Dessert Parlor,2.8,40,200.0,Yes,No,"Desserts, Ice Cream",Marathahalli,CV Raman Nagar,112.0
Ice & Spice,"Takeaway, Delivery",3.0,96,650.0,Yes,No,"Continental, Pizza, Fast Food",Brigade Road,Frazer Town,288.0
Ice Berg,Quick Bites,3.3,7,300.0,No,No,Fast Food,Kalyan Nagar,Kammanahalli,23.099999999999998
Ice Bowl,"Food Court, Dessert Parlor",3.4,8,250.0,No,No,"Desserts, Beverages",Bannerghatta Road,Bannerghatta Road,27.2
Ice Burg,Quick Bites,2.8,40,300.0,No,No,"Cafe, Continental, Desserts",Jayanagar,JP Nagar,112.0
Ice Cafe & Lassi Shop,Beverage Shop,3.6,27,100.0,Yes,No,"Beverages, Juices",Jayanagar,BTM,97.2
Ice Cream Buggy,Food Truck,3.1,21,100.0,No,No,Ice Cream,HSR,South Bangalore,65.10000000000001
Ice Cream Works,Dessert Parlor,3.8,83,300.0,Yes,No,"Ice Cream, Ice Cream",Indiranagar,Indiranagar,315.4
Ice Creamist,Dessert Parlor,2.8,40,300.0,No,No,"Ice Cream, Desserts, Beverages",Indiranagar,Indiranagar,112.0
Ice Crystal Gola,Dessert Parlor,2.8,40,100.0,No,No,"Ice Cream, Juices, Beverages",Brookefield,Marathahalli,112.0
Ice Fort,Dessert Parlor,3.7,23,300.0,No,No,Ice Cream,Rajajinagar,Basaveshwara Nagar,85.10000000000001
Ice Land,Dessert Parlor,3.6,34,300.0,Yes,No,"Ice Cream, Desserts",Basavanagudi,JP Nagar,122.4
Ice Magic,Quick Bites,3.4,6,250.0,No,No,"Ice Cream, Fast Food, Beverages, Burger, Desserts, Juices",New BEL Road,New BEL Road,20.4
Ice N Fries Cafe,Quick Bites,3.7,39,200.0,Yes,No,"Ice Cream, Fast Food, Burger, Pizza, Sandwich, Desserts, Beverages",Bellandur,Sarjapur Road,144.3
Ice N Spice,Dessert Parlor,3.7,17,200.0,No,No,Desserts,Brigade Road,MG Road,62.900000000000006
Ice Stone Creamery,Dessert Parlor,3.6,42,400.0,Yes,No,"Desserts, Ice Cream",Koramangala 7th Block,Jayanagar,151.20000000000002
Ice Thunder,Quick Bites,3.8,124,300.0,No,No,"South Indian, Fast Food, North Indian, Desserts",Banashankari,Basavanagudi,471.2
Ice Treat,Quick Bites,3.8,42,200.0,Yes,No,"Juices, Ice Cream",Bellandur,HSR,159.6
Iceberg Icecreams,Dessert Parlor,4.0,41,250.0,Yes,No,"Desserts, Ice Cream",Jayanagar,Basavanagudi,164.0
IceBreakers,Dessert Parlor,3.6,7,500.0,Yes,No,"Desserts, Ice Cream",Koramangala 6th Block,HSR,25.2
IDC Kitchen,Quick Bites,4.1,60,200.0,No,No,South Indian,Lavelle Road,Majestic,245.99999999999997
Ideal Kitchen,Quick Bites,3.5,26,250.0,Yes,No,"North Indian, Chinese, South Indian, Seafood",Brigade Road,Indiranagar,91.0
Idli & Dosa Cafe,Quick Bites,2.6,91,200.0,No,No,South Indian,HSR,HSR,236.6
Idly Pidly,Quick Bites,3.2,148,250.0,Yes,No,South Indian,Bannerghatta Road,Bannerghatta Road,473.6
Ifruit Ice Cream,Dessert Parlor,3.3,4,150.0,Yes,No,"Desserts, Ice Cream",Banashankari,Kumaraswamy Layout,13.2
iFruit Live Ice Creams,Dessert Parlor,3.4,10,300.0,No,No,Ice Cream,Koramangala 4th Block,Koramangala 1st Block,34.0
Igloo Shakez & Bytez,"Beverage Shop, Quick Bites",3.1,7,300.0,No,No,"Beverages, Fast Food, Desserts",HSR,HSR,21.7
ILA Kitchen,Casual Dining,3.7,14,500.0,No,No,Kerala,Kalyan Nagar,Banaswadi,51.800000000000004
Ilyazsab Shawarma Cafe,Quick Bites,2.8,40,300.0,Yes,No,"Fast Food, Rolls","Byresandra,Tavarekere,Madiwala",Jayanagar,112.0
Ilyazsab The House Of Chicken,Quick Bites,4.0,117,250.0,Yes,No,"Rolls, Kebab","Byresandra,Tavarekere,Madiwala",BTM,468.0
Imli,Casual Dining,3.8,1837,900.0,Yes,No,"North Indian, Street Food",Indiranagar,Indiranagar,6980.599999999999
Imli Express,"Takeaway, Delivery",2.8,40,150.0,No,No,Fast Food,Indiranagar,Indiranagar,112.0
Impala Biryani,Quick Bites,3.2,4,150.0,No,No,"Biryani, North Indian",JP Nagar,JP Nagar,12.8
Imperia Restaurant,Casual Dining,2.4,125,500.0,Yes,No,"North Indian, Chinese, Arabian, Biryani, Fast Food",Brookefield,Whitefield,300.0
Imperial Restaurant,Casual Dining,2.9,238,800.0,Yes,No,"North Indian, Chinese, Biryani, Kebab, Juices",Frazer Town,Shivajinagar,690.1999999999999
Imperial Room,"Casual Dining, Bar",3.2,4,1000.0,No,No,"North Indian, Chinese",Lavelle Road,Majestic,12.8
